Id,date,company_code,company,yesterday_price,open,last,close,low,high,qty_traded,num_trades,value,next_day_ret
0,2018-01-02,725001,ADWYA,5.35,5.25,5.39,5.39,5.25,5.39,2926,7,15635.5,-161.10115936728175
1,2018-01-02,340005,AMEN BANK,24.35,24.38,24.0,24.0,24.0,24.38,1519,12,36918.0,-91.05632325101753
2,2018-01-02,730001,ARTES,6.2,6.27,6.1,6.1,6.09,6.27,35875,67,219020.05,159.01198275991345
3,2018-01-02,714001,ASSAD,9.0,0.0,0.0,9.0,0.0,0.0,0,0,,-98.00076769546084
4,2018-01-02,360035,ATB,4.22,4.15,4.18,4.18,4.15,4.18,3705,7,15465.9,-158.65999151257859
5,2018-01-02,774001,ATELIER MEUBLE INT,2.48,2.42,2.49,2.49,2.42,2.49,195,3,472.25,-86.88965658435022
6,2018-01-02,470010,ATL,3.09,3.17,3.09,3.09,3.09,3.17,602,2,1860.34,-86.88965658435022
7,2018-01-02,160015,ATTIJARI BANK,36.4,36.0,36.6,36.6,35.8,36.6,11307,56,405585.49,-209.84047625648205
8,2018-01-02,661001,ATTIJARI LEASING,17.72,17.93,17.88,17.88,17.88,17.93,202,4,3617.06,-181.96795636063578
9,2018-01-02,190060,BH,18.5,18.0,18.48,18.48,17.8,18.48,7108,42,127604.9,-113.94593364062789
10,2018-01-02,180045,BIAT,122.0,120.0,118.1,118.1,118.0,120.0,2897,39,342446.0,73.99095306848791
11,2018-01-02,310060,BNA,11.7,11.96,11.61,11.61,11.61,11.96,13572,24,160551.85,-9.370276739388839
12,2018-01-02,220005,BT,8.1,8.05,7.81,7.81,7.81,8.05,64695,70,507662.25,-74.08555927320926
13,2018-01-02,759001,CELLCOM,1.89,1.89,1.89,1.89,1.89,1.89,160,2,302.4,-33.979603674296754
14,2018-01-02,420085,CIL,16.35,16.35,16.48,16.84,16.35,16.48,844,6,13852.96,186.26948830876123
15,2018-01-02,755001,CITY CARS,10.6,10.6,10.75,10.75,10.6,10.75,7679,14,81442.4,210.78476202030183
16,2018-01-02,767001,DELICE HOLDING,16.5,16.11,16.5,16.5,16.01,16.5,6591,9,105611.16,-86.88965658435022
17,2018-01-02,665001,ELECTROSTAR,2.65,2.58,2.65,2.65,2.58,2.65,487,14,1283.55,-11.417958471142686
18,2018-01-02,741001,ENNAKL AUTOMOBILES,12.45,12.6,12.4,12.4,12.35,12.6,3340,15,41425.6,74.4006659962948
19,2018-01-02,721001,ESSOUKNA,3.69,3.69,3.69,3.69,3.69,3.69,1500,4,5535.0,-195.29074059519093
20,2018-01-02,757001,EURO-CYCLES,27.0,26.51,26.5,26.5,26.2,26.89,6586,52,174610.36,290.46883398168745
21,2018-01-02,713001,GIF-FILTER,1.44,1.46,1.48,1.48,1.42,1.48,4894,20,7039.95,-357.15992685462106
22,2018-01-02,731013,HANNIBAL LEASE,8.3,8.06,8.06,8.06,8.06,8.06,1,1,8.06,-86.88965658435022
23,2018-01-02,644001,MAGASIN GENERAL,39.5,38.6,38.6,38.6,38.6,38.6,50,1,1930.0,16.7372864208315
24,2018-01-02,100010,MONOPRIX,11.4,11.39,11.6,11.6,11.39,11.6,1980,10,22766.6,-86.88965658435022
25,2018-01-02,762001,MPBS,3.06,3.15,3.12,3.12,3.06,3.15,2717,6,8420.55,-375.3511950458899
26,2018-01-02,753001,ONE TECH HOLDING,13.34,13.36,13.2,13.2,13.2,13.38,3707,24,48994.04,352.50428280958926
27,2018-01-02,570001,POULINA GP HOLDING,10.3,10.6,10.91,10.91,10.6,10.91,1236,15,13210.82,444.73270821858256
28,2018-01-02,761001,SAH,15.95,15.8,15.51,15.51,15.35,15.8,10090,42,156553.13,3.374688999144837
29,2018-01-02,110025,SFBT,19.8,19.8,19.4,19.4,19.22,19.8,27029,132,523805.54,160.53302382802227
30,2018-01-02,659001,SIAME,2.41,2.44,2.37,2.37,2.37,2.44,9516,10,22599.58,-382.2483063733806
31,2018-01-02,400005,SIMPAR,42.8,42.8,42.8,42.8,42.8,42.8,200,2,8560.0,191.14772659322153
32,2018-01-02,718001,SITS,2.38,2.35,2.35,2.35,2.35,2.35,5000,4,11750.0,-86.88965658435022
33,2018-01-02,678001,SOMOCER,1.11,1.13,1.16,1.16,1.11,1.16,23630,80,26979.44,257.937929622547
34,2018-01-02,729001,SOPAT,0.74,0.74,0.74,0.74,0.74,0.74,1050,7,777.0,-86.88965658435022
35,2018-01-02,653001,SOTETEL,2.74,2.66,2.81,2.81,2.66,2.81,5315,14,14825.47,-51.3024679722518
36,2018-01-02,763001,SOTIPAPIER,3.48,3.48,3.52,3.52,3.48,3.52,2656,15,9283.25,-143.70783840253253
37,2018-01-02,666001,SOTRAPIL,10.55,10.54,10.7,10.7,10.5,10.7,3252,20,34354.69,-77.54386219182452
38,2018-01-02,658001,SOTUMAG,1.95,1.98,1.93,1.93,1.93,1.98,6790,21,13247.26,16.7372864208315
39,2018-01-02,656001,SOTUVER,5.18,5.14,4.94,4.94,4.94,5.14,14301,29,71399.2,-370.290466300951
40,2018-01-02,606001,STAR,100.0,97.4,98.0,98.0,97.4,98.0,410,6,40174.0,117.19197606871123
41,2018-01-02,260095,STB,3.59,3.69,3.69,3.69,3.69,3.69,21,1,77.49,-5.588843576218583
42,2018-01-02,744001,TELNET HOLDING,5.95,5.99,5.86,5.86,5.83,5.99,2502,11,14828.37,49.629114746707614
43,2018-01-02,727001,TPR,3.7,3.54,3.48,3.48,3.48,3.68,29264,78,103269.43,-316.7747140556143
44,2018-01-02,738001,TUNIS RE,8.38,8.4,8.4,8.4,8.25,8.4,8718,40,73110.64,-265.46108515577924
45,2018-01-02,120040,TUNISAIR,0.43,0.44,0.43,0.43,0.42,0.44,8001,18,3441.43,-319.44779611923434
46,2018-01-02,769001,UADH,2.46,2.45,2.45,2.45,2.45,2.45,636,5,1558.2,-46.0733300537397
47,2018-01-02,390010,UIB,22.59,22.59,22.01,22.01,22.01,22.59,4173,19,92334.27,-45.99915226813023
48,2018-01-02,772001,UNIMED,7.85,0.0,0.0,7.85,0.0,0.0,0,0,,104.19314596342045
49,2018-01-02,720001,WIFACK INT BANK,7.33,7.5,7.43,7.43,7.33,7.5,1251,10,9334.1,-113.80755698811807
50,2018-01-02,230035,AIR LIQUDE TSIE,89.0,0.0,0.0,89.0,0.0,0.0,0,0,,-86.88965658435022
